"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev"
"163","","Paul Richardson","WAS","WR63","4","92","212","160.7","36.1"
"164","","Austin Seferian-Jenkins","JAC","TE21","9","118","248","165.2","27.9"
"165","","Doug Martin","OAK","RB55","7","101","235","164.2","37.9"
"166","","Denver Broncos","","DST5","10","126","220","162.6","19.8"
"167","","Peyton Barber","TB","RB56","5","64","207","139.5","34.6"
"168","","Andy Dalton","CIN","QB23","9","85","249","171.1","36.3"
"169","","Ameer Abdullah","DET","RB57","6","94","227","150.9","39.4"
"170","","Latavius Murray","MIN","RB58","10","125","195","163.0","20.9"
"171","","LeGarrette Blount","DET","RB59","6","118","229","165.8","33.3"
"172","","Houston Texans","","DST6","10","144","225","169.2","19.2"
"173","","Jordan Matthews","NE","WR64","11","83","259","161.8","43.7"
"174","","Los Angeles Chargers","","DST7","8","138","221","168.6","21.3"
"175","","Austin Hooper","ATL","TE22","8","143","254","174.3","26.1"
"176","","Mitch Trubisky","CHI","QB24","5","96","221","176.0","34.8"
"177","","Case Keenum","DEN","QB25","10","111","211","174.6","31.1"
"178","","Eli Manning","NYG","QB26","9","107","216","175.4","30.3"
"179","","Calvin Ridley","ATL","WR65","8","124","281","186.8","52.4"
"180","","Chris Godwin","TB","WR66","5","102","216","168.1","31.8"
"181","","D.J. Moore","CAR","WR67","4","75","225","160.7","39.9"
"182","","Tyrod Taylor","CLE","QB27","11","103","242","182.1","36.4"
"183","","Stephen Gostkowski","NE","K1","11","139","222","171.6","15.2"
"184","","Corey Clement","PHI","RB60","9","121","284","182.2","59.0"
"185","","Seattle Seahawks","","DST8","7","123","217","176.2","25.6"
"186","","Justin Tucker","BAL","K2","10","140","223","173.8","15.3"
"187","","Matt Breida","SF","RB61","11","116","231","169.3","34.1"
"188","","Danny Amendola","MIA","WR68","11","123","223","180.6","30.9"
"189","","Baltimore Ravens","","DST9","10","133","218","178.9","19.3"
"190","","Jonathan Stewart","NYG","RB62","9","110","248","182.7","40.9"
"191","","Terrelle Pryor","NYJ","WR69","11","104","215","176.9","27.8"
"192","","Vance McDonald","PIT","TE23","7","99","263","184.7","36.4"
"193","","Benjamin Watson","NO","TE24","6","118","237","171.7","26.4"
"194","","Cameron Meredith","NO","WR70","6","121","271","190.4","49.1"
"195","","Greg Zuerlein","LAR","K3","12","142","224","176.3","16.6"
"196","","Albert Wilson","MIA","WR71","11","129","258","177.2","37.3"
"197","","Matt Bryant","ATL","K4","8","147","230","179.9","15.7"
"198","","T.J. Yeldon","JAC","RB63","9","101","252","184.7","43.6"
"199","","Jeremy Maclin","FA","WR72","","113","238","164.5","41.4"
"200","","Tyrell Williams","LAC","WR73","8","129","233","183.3","29.8"
"201","","John Brown","BAL","WR74","10","119","233","185.8","29.9"
"202","","Willie Snead","BAL","WR75","10","134","266","189.5","37.1"
"203","","Kenneth Dixon","BAL","RB64","10","147","241","187.3","35.0"
"204","","Terrance Williams","DAL","WR76","8","105","292","197.3","62.2"
"205","","Adam Shaheen","CHI","TE25","5","87","254","196.9","45.8"
"206","","Anthony Miller","CHI","WR77","5","149","335","186.8","59.4"
"207","","Jermaine Kearse","NYJ","WR78","11","146","233","193.7","28.0"
"208","","Zay Jones","BUF","WR79","11","139","270","190.0","33.0"
"209","","Cole Beasley","DAL","WR80","8","148","315","197.4","43.0"
"210","","Austin Ekeler","LAC","RB65","8","119","274","200.2","51.3"
"211","","Christian Kirk","ARI","WR81","9","132","277","203.2","51.7"
"212","","Ryan Tannehill","MIA","QB28","11","103","256","208.2","42.0"
"213","","Dan Bailey","DAL","K5","8","151","240","191.3","20.9"
"214","","Kansas City Chiefs","","DST10","12","155","234","194.3","17.8"
"215","","Darren Sproles","PHI","RB66","9","149","247","185.8","32.8"
"216","","New Orleans Saints","","DST11","6","150","246","194.9","19.6"
"217","","Mike Gesicki","MIA","TE26","11","78","270","200.9","58.9"
"218","","Michael Gallup","DAL","WR82","8","145","258","193.4","35.9"
"219","","New England Patriots","","DST12","11","157","231","194.4","16.4"
"220","","Orleans Darkwa","FA","RB67","","114","181","158.3","27.4"
"221","","James Washington","PIT","WR83","7","90","281","202.0","56.9"
"222","","Wil Lutz","NO","K6","6","156","226","196.4","18.8"
"223","","Joe Flacco","BAL","QB29","10","136","261","209.6","36.4"
"224","","Mike Davis","SEA","RB68","7","130","313","210.0","54.3"
"225","","Joe Williams","SF","RB69","11","94","279","235.3","63.0"
"226","","Matt Prater","DET","K7","6","162","236","196.4","16.6"
"227","","Carolina Panthers","","DST13","4","155","238","197.4","19.1"
"228","","Javorius Allen","BAL","RB70","10","141","272","213.8","37.6"
"229","","Spencer Ware","KC","RB71","12","144","273","213.3","41.1"
"230","","Lamar Jackson","BAL","QB30","10","143","300","218.2","52.3"
"231","","Eric Decker","FA","WR84","","158","267","192.1","35.5"
"232","","Vernon Davis","WAS","TE27","4","141","257","219.9","37.3"
"233","","Josh Hill","NO","TE28","6","136","302","213.3","52.9"
"234","","Tyler Kroft","CIN","TE29","9","115","281","218.5","47.6"
"235","","Courtland Sutton","DEN","WR85","10","134","270","220.5","43.5"
"236","","Brandon LaFell","CIN","WR86","9","141","339","241.9","63.6"
"237","","Ryan Grant","IND","WR87","9","148","238","194.0","30.1"
"238","","Pittsburgh Steelers","","DST14","7","160","235","200.8","17.2"
"239","","Mike Gillislee","NE","RB72","11","151","283","212.4","43.8"
"240","","Kenny Britt","NE","WR88","11","164","299","223.9","53.6"
"241","","Terrance West","FA","RB73","","134","219","183.3","35.5"
"242","","Gerald Everett","LAR","TE30","12","146","264","209.2","28.1"
"243","","Arizona Cardinals","","DST15","9","165","242","205.1","18.9"
"244","","Cameron Artis-Payne","CAR","RB74","4","151","295","214.0","48.5"
"245","","Ricky Seals-Jones","ARI","TE31","9","176","267","208.3","35.4"
"246","","Rico Gathers","DAL","TE32","8","141","337","218.2","62.1"
"247","","Mason Crosby","GB","K8","7","174","247","210.3","22.6"
"248","","Kendall Wright","MIN","WR89","10","158","255","206.4","28.5"
"249","","Curtis Samuel","CAR","WR90","4","168","290","221.2","36.0"
"250","","Malcolm Mitchell","NE","WR91","11","129","285","238.0","63.3"
"251","","Brice Butler","ARI","WR92","9","130","268","227.1","39.6"
"252","","Jesse James","PIT","TE33","7","159","273","227.7","37.0"
"253","","Stephen Anderson","HOU","TE34","10","175","288","225.2","42.8"
"254","","Atlanta Falcons","","DST16","8","178","242","211.6","20.6"
"255","","Chicago Bears","","DST17","5","171","253","217.2","25.4"
"256","","Paul Perkins","NYG","RB75","9","140","236","201.5","39.2"
"257","","C.J. Prosise","SEA","RB76","7","164","283","214.8","29.5"
"258","","J.J. Nelson","ARI","WR93","9","166","287","229.0","41.7"
"259","","C.J. Fiedorowicz","FA","TE35","","175","250","203.3","24.7"
"260","","Robert Turbin","IND","RB77","9","148","205","188.0","23.5"
"261","","Jake Elliott","PHI","K9","9","176","245","207.2","18.0"
"262","","Quincy Enunwa","NYJ","WR94","11","172","264","211.9","29.7"
"263","","Kevin White","CHI","WR95","5","173","320","235.8","49.4"
"264","","Coby Fleener","NO","TE36","6","156","253","199.7","40.2"
"265","","Chris Boswell","PIT","K10","7","166","243","208.4","17.0"
"266","","Harrison Butker","KC","K11","12","175","234","210.6","18.6"
"267","","Hayden Hurst","BAL","TE37","10","145","306","237.0","51.9"
"268","","Rod Smith","DAL","RB78","8","145","288","246.0","42.0"
"269","","Chris Ivory","BUF","RB79","11","152","284","238.1","42.8"
"270","","Keelan Cole","JAC","WR96","9","158","277","228.6","38.1"
"271","","Shane Vereen","FA","RB80","","149","275","224.3","46.3"
"272","","Adrian Peterson","FA","RB81","","159","345","228.0","62.9"
"273","","Jalen Richard","OAK","RB82","7","154","282","242.0","38.3"
"274","","Adam Vinatieri","IND","K12","9","181","248","219.6","21.3"
"275","","Josh Reynolds","LAR","WR97","12","163","327","255.3","57.6"
"276","","Torrey Smith","CAR","WR98","4","173","278","232.8","32.9"
"277","","Eddie Lacy","FA","RB83","","159","262","224.5","39.4"
"278","","Jamaal Charles","FA","RB84","","163","279","237.3","52.7"
"279","","Brandon Marshall","DEN","LB1","10","164","269","216.5","52.5"
"280","","Brandon Marshall","FA","WR99","","164","332","248.0","84.0"
"281","","John Ross","CIN","WR100","9","178","266","222.4","30.6"
"282","","Elijah McGuire","NYJ","RB85","11","167","293","246.8","38.6"
"283","","Geronimo Allison","GB","WR101","7","189","249","211.5","24.5"
"284","","New York Giants","","DST18","9","183","268","220.1","24.7"
"285","","Jacquizz Rodgers","TB","RB86","5","172","276","235.8","36.1"
"286","","Nyheim Hines","IND","RB87","9","173","254","229.3","32.7"
"287","","Jake Butt","DEN","TE38","10","175","265","219.9","28.8"
"288","","Corey Grant","JAC","RB88","9","175","309","260.8","45.4"
"289","","Nick Vannett","SEA","TE39","7","177","255","226.3","27.7"
"290","","Ryan Griffin","HOU","TE40","10","190","328","236.4","53.2"
"291","","Brandon McManus","DEN","K13","10","184","267","224.3","23.4"
"292","","Charles Sims","TB","RB89","5","181","281","228.8","33.1"
"293","","James Conner","PIT","RB90","7","181","286","244.0","29.7"
"294","","Graham Gano","CAR","K14","4","182","251","223.6","18.9"
"295","","Jaron Brown","SEA","WR102","7","182","261","239.2","26.1"
"296","","Buffalo Bills","","DST19","11","188","260","229.0","28.6"
"297","","Sam Bradford","ARI","QB31","9","191","260","220.2","19.6"
"298","","Blair Walsh","FA","K15","","185","247","222.2","24.4"
"299","","DeAndre Washington","OAK","RB91","7","187","341","237.4","42.5"
"300","","Travis Benjamin","LAC","WR103","8","193","280","237.7","34.0"
"301","","Tyler Higbee","LAR","TE41","12","185","275","242.0","34.8"
"302","","Tampa Bay Buccaneers","","DST20","5","186","259","225.0","26.0"
"303","","Thomas Rawls","NYJ","RB92","11","187","278","250.4","33.5"
"304","","Green Bay Packers","","DST21","7","190","261","227.5","24.0"
"305","","Cincinnati Bengals","","DST22","9","188","257","231.7","22.5"
"306","","De'Angelo Henderson","DEN","RB93","10","188","277","243.7","29.4"
"307","","Josh McCown","NYJ","QB32","11","189","276","219.4","27.2"
"308","","Tennessee Titans","","DST23","8","189","266","223.0","25.0"
"309","","Josh Allen","BUF","QB33","11","189","294","237.8","33.4"
"310","","Cairo Santos","NYJ","K16","11","190","265","226.8","30.4"
"311","","Robbie Gould","SF","K17","11","191","254","221.5","21.0"
"312","","Kai Forbath","MIN","K18","10","194","265","227.3","22.6"
"313","","Jonathan Williams","NO","RB94","6","194","276","235.0","41.0"
"314","","Mark Andrews","BAL","TE42","10","198","330","247.3","54.7"
"315","","Taylor Gabriel","CHI","WR104","5","199","258","228.4","20.4"
"316","","Teddy Bridgewater","NYJ","QB34","11","198","319","242.0","46.0"
"317","","Garrett Celek","SF","TE43","11","199","264","244.4","20.9"
"318","","Amara Darboh","SEA","WR105","7","204","204","204.0","0.0"
"319","","Carlos Henderson","DEN","WR106","10","202","215","210.7","6.1"
"320","","Adam Humphries","TB","WR107","5","212","212","212.0","0.0"
"321","","Deon Cain","IND","WR108","9","223","223","223.0","0.0"
"322","","Ryan Succop","TEN","K19","8","206","234","224.5","11.0"
"323","","Caleb Sturgis","LAC","K20","8","206","247","226.5","20.5"
"324","","DaeSean Hamilton","DEN","WR109","10","228","228","228.0","0.0"
"325","","Jeremy Hill","NE","RB95","11","214","246","229.4","11.6"
"326","","Breshad Perriman","BAL","WR110","10","225","237","231.0","6.0"
"327","","Ed Dickson","SEA","TE44","7","209","269","232.3","25.1"
"328","","Chase Edmonds","ARI","RB96","9","226","246","232.7","9.4"
"329","","Trent Taylor","SF","WR111","11","220","259","232.8","15.9"
"330","","Steven Hauschka","BUF","K21","11","205","265","234.8","22.0"
"331","","Phil Dawson","ARI","K22","9","209","267","235.0","24.1"
"332","","San Francisco 49ers","","DST24","11","214","266","236.8","18.8"
"333","","Jordan Wilkins","IND","RB97","9","238","238","238.0","0.0"
"334","","Luke Willson","DET","TE45","6","218","260","238.4","18.0"
"335","","Kyle Juszczyk","SF","RB98","11","219","280","239.0","24.9"
"336","","AJ McCarron","BUF","QB35","11","210","303","240.4","29.2"
"337","","Taywan Taylor","TEN","WR112","8","207","297","240.4","40.4"
"338","","Dallas Goedert","PHI","TE46","9","212","259","243.3","22.2"
"339","","Josh Rosen","ARI","QB36","9","210","321","243.9","36.0"
"340","","Chester Rogers","IND","WR113","9","204","312","244.5","40.5"
"341","","Detroit Lions","","DST25","6","210","260","245.3","20.7"
"342","","Andre Holmes","BUF","WR114","11","233","253","246.3","9.4"
"343","","Sam Darnold","NYJ","QB37","11","227","277","246.8","21.1"
"344","","Cleveland Browns","","DST26","11","237","257","247.0","10.0"
"345","","Ka'imi Fairbairn","HOU","K23","10","234","262","248.0","14.0"
"346","","Baker Mayfield","CLE","QB38","11","215","261","248.3","15.2"
"347","","Michael Roberts","DET","TE47","6","233","281","249.0","22.6"
"348","","Demarcus Robinson","KC","WR115","12","240","264","251.7","9.8"
"349","","Jermaine Gresham","ARI","TE48","9","207","325","254.0","32.5"
"350","","Maxx Williams","BAL","TE49","10","250","258","254.0","4.0"
"351","","Braxton Miller","HOU","WR116","10","244","276","254.7","15.1"
"352","","Jonnu Smith","TEN","TE50","8","241","269","256.2","10.5"
"353","","Mike Tolbert","FA","RB99","","238","275","256.5","18.5"
"354","","Antonio Gates","FA","TE51","","235","270","256.6","13.2"
"355","","Dante Pettis","SF","WR117","11","240","280","258.5","18.6"
"356","","Chris Conley","KC","WR118","12","226","280","260.6","20.4"
"357","","Tion Green","DET","RB100","6","238","275","261.3","16.6"
"358","","Wendell Smallwood","PHI","RB101","9","215","281","261.6","24.3"
"359","","New York Jets","","DST27","11","208","311","261.7","42.2"
"360","","Clive Walford","NYJ","TE52","11","236","314","262.0","36.8"
"361","","Pharoh Cooper","LAR","WR119","12","216","310","263.0","47.0"
"362","","D.J. Chark","JAC","WR120","9","241","307","263.0","31.1"
